financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
09_16/17,2016/2017,9.0,28.0,2016-12-10,Victoria,4613543.760000003,6.563998541067381,6303106.9318315,0.933272937222532,,0.5121021537029229,571299.7534831637,13587433.083091438,2016.0,2016.0,2009.0,2016.0,1,1,1
10_16/17,2016/2017,10.0,28.0,2017-01-07,Bakerloo,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.4209167587198097,267444.17314642126,7204503.045718432,2017.0,,,,0,0,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,Central,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.5242967436425624,942992.860501537,30373793.28156749,2017.0,,,,0,0,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,Waterloo & City,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.2573706780992267,25554.25421266297,6482032.499274312,2017.0,,,,0,0,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,Circle & Hammersmith & City,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.6032902984902403,282215.75752047554,,2017.0,2023.0,2017.0,2023.0,0,1,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,District,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.5088066569479424,715346.6642189944,37932988.5827286,2017.0,2023.0,2017.0,2023.0,0,1,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,Jubilee,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.3191570129499012,782210.3067112697,13251709.5754717,2017.0,2011.0,2011.0,2011.0,1,1,1
10_16/17,2016/2017,10.0,28.0,2017-01-07,Metropolitan,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.7439034428993991,569122.0750756729,24069603.25616836,2017.0,,2012.0,,0,1,0
10_16/17,2016/2017,10.0,28.0,2017-01-07,Northern,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.2888270011918388,1054078.6424143482,29760033.716255445,2017.0,2014.0,2014.0,2014.0,1,1,1
10_16/17,2016/2017,10.0,28.0,2017-01-07,Piccadilly,2378655.340000009,4.54326546656691,6041397.477793466,0.9626076049188212,,0.5222458456867455,854853.7599950087,18288527.13570392,2017.0,,,,0,0,0
