Station,year,annual_entry_exit
Bond Street                        ,2012,38065150
Borough                            ,2012,4840588
Boston Manor                       ,2012,1951651
Bounds Green                       ,2012,5738629
Bow Road                           ,2012,5180394
Brent Cross                        ,2012,2125797
Brixton                            ,2012,24823616
Bromley-by-Bow                     ,2012,2628177
Buckhurst Hill                     ,2012,1910147
Burnt Oak                          ,2012,3623525
Caledonian Road                    ,2012,5250363
Camden Town                        ,2012,21614759
Canada Water                       ,2012,10724783
Canary Wharf                       ,2012,48043044
Canning Town                       ,2012,8737992
Cannon Street                      ,2012,4088480
Canons Park                        ,2012,1983360
Chalfont & Latimer                 ,2012,1267837
Chalk Farm                         ,2012,5340369
Chancery Lane                      ,2012,15898206
Charing Cross                      ,2012,18524648
Chesham                            ,2012,652941
Chigwell                           ,2012,486629
Chiswick Park                      ,2012,2096264
Chorleywood                        ,2012,1008639
Clapham Common                     ,2012,9214447
Clapham North                      ,2012,5822763
Clapham South                      ,2012,7797633
Cockfosters                        ,2012,1805737
Colindale                          ,2012,4270547
Colliers Wood                      ,2012,5681757
Covent Garden                      ,2012,21292698
Croxley                            ,2012,891178
Dagenham East                      ,2012,2288282
Dagenham Heathway                  ,2012,4912327
Debden                             ,2012,2198209
Dollis Hill                        ,2012,3181564
Ealing Broadway                    ,2012,16089675
Ealing Common                      ,2012,3235644
Earl's Court                       ,2012,21026733
East Acton                         ,2012,3473199
East Finchley                      ,2012,6304646
East Ham                           ,2012,13312177
East Putney                        ,2012,5331607
Eastcote                           ,2012,2517541
Edgware                            ,2012,4083055
Edgware Road (Bak)                 ,2012,4425113
Edgware Road (Cir)                 ,2012,6311978
Elephant & Castle                  ,2012,17959946
Elm Park                           ,2012,2493005
Embankment                         ,2012,19884719
Epping                             ,2012,3029117
Euston                             ,2012,37526909
Euston Square                      ,2012,11358790
Fairlop                            ,2012,906250
Farringdon                         ,2012,20402371
Finchley Central                   ,2012,5507100
Finchley Road                      ,2012,9366745
Finsbury Park                      ,2012,26036007
Fulham Broadway                    ,2012,9495761
Gants Hill                         ,2012,5594100
Gloucester Road                    ,2012,14193918
Golders Green                      ,2012,7635532
Goldhawk Road                      ,2012,1720631
Goodge Street                      ,2012,8613806
Grange Hill                        ,2012,538851
Great Portland Street              ,2012,7358443
Green Park                         ,2012,33987599
Greenford                          ,2012,4053459
Gunnersbury                        ,2012,4643672
Hainault                           ,2012,2861768
Hammersmith (Dis)                  ,2012,28647767
Hammersmith (H&C)                  ,2012,8637578
Hampstead                          ,2012,4377572
Hanger Lane                        ,2012,3453605
Harlesden                          ,2012,2425550
Harrow & Wealdstone                ,2012,4452893
Harrow-on-the-Hill                 ,2012,8847439
Hatton Cross                       ,2012,2959643
Heathrow Terminals 123             ,2012,7796187
Heathrow Terminal 4                ,2012,2436725
Heathrow Terminal 5                ,2012,3639976
Hendon Central                     ,2012,6825826
High Barnet                        ,2012,2876354
High Street Kensington             ,2012,12898984
Highbury & Islington               ,2012,16770439
Highgate                           ,2012,4759258
Hillingdon                         ,2012,1482669
Holborn                            ,2012,31506714
Holland Park                       ,2012,3318275
